user_id,risk_type,risk_exposure,risk_mitigation,risk_failure_rate,timestamp
RISK001,Market,100000,5000,8.5,12-02-2024
RISK002,Credit,75000,4000,12.2,25-08-2023
RISK003,Operational,50000,3000,20,15-01-2024
RISK004,Compliance,60000,2000,17.5,10-12-2023
RISK005,Reputational,90000,7000,15,20-11-2023
RISK006,Market,120000,6000,9.5,05-03-2024
RISK007,Credit,85000,4500,13.7,30-07-2023
RISK008,Operational,95000,5000,14.3,18-02-2024
RISK009,Compliance,70000,3500,10.2,14-09-2023
RISK010,Reputational,110000,8000,11.5,22-06-2023
RISK011,Market,130000,7000,7,05-01-2024
RISK012,Credit,115000,6500,10,10-05-2023
RISK013,Operational,105000,5500,18.6,28-10-2023
RISK014,Compliance,95000,4000,9.8,17-08-2023
RISK015,Reputational,125000,9000,7.8,05-07-2023
RISK016,Market,140000,8500,5,01-02-2024
RISK017,Credit,135000,8000,4.5,18-06-2023
RISK018,Operational,150000,7500,6.5,12-01-2024
RISK019,Compliance,145000,6000,9.9,30-11-2023
RISK020,Reputational,155000,9500,10.5,25-05-2023
RISK021,Market,160000,10000,4,29-12-2023
RISK022,Credit,145000,9000,6.3,20-04-2023
RISK023,Operational,175000,11000,7.3,08-01-2024
RISK024,Compliance,165000,8500,5.6,15-10-2023
RISK025,Reputational,180000,12000,6.3,19-08-2023
RISK026,Market,195000,13000,3.6,01-07-2023
RISK027,Credit,185000,12500,4.4,30-03-2023
RISK028,Operational,200000,14000,5.1,04-11-2023
RISK029,Compliance,175000,11500,3.9,12-09-2023
RISK030,Reputational,210000,15000,4.7,05-05-2023
RISK031,Market,225000,16000,3.2,10-03-2024
RISK032,Credit,240000,17000,3.9,15-02-2023
RISK033,Operational,220000,15500,4.5,20-12-2023
RISK034,Compliance,195000,14000,3.6,18-07-2023
RISK035,Reputational,230000,17500,4.8,10-04-2023
RISK036,Market,250000,20000,2.9,28-02-2024
RISK037,Credit,260000,22000,3.2,25-01-2023
RISK038,Operational,270000,23000,5,10-09-2023
RISK039,Compliance,245000,19000,3.2,05-06-2023
RISK040,Reputational,280000,25000,4.1,20-03-2023
RISK041,Market,300000,27000,2.6,10-11-2023
RISK042,Credit,320000,29000,3.2,05-12-2022
RISK043,Operational,310000,28500,4.7,15-08-2023
RISK044,Compliance,290000,26000,2.9,18-05-2023
RISK045,Reputational,330000,30000,3.6,22-02-2023
RISK046,Market,350000,33000,2.7,05-10-2023
RISK047,Credit,370000,35000,3.4,25-10-2022
RISK048,Operational,340000,32000,4,05-07-2023
RISK049,Compliance,360000,34000,2.8,12-04-2023
RISK050,Reputational,380000,36000,3.5,15-01-2023
